artist,nonmale,non-cis,race,ethnicity,primary status,REPS,gender,corpora,source,comments
Bachman-Turner Overdrive,0,0,0,0,0,0,0,MBB + UG,"https://en.wikipedia.org/wiki/Bachman–Turner_Overdrive, https://en.wikipedia.org/wiki/Randy_Bachman",All Canadian. Randy Bachman is a member of the Canadian charity Artists Against Racism
Badfinger,0,0,0,0,0,0,0,MBB + UG,https://en.wikipedia.org/wiki/Badfinger,Welsch
Billy Idol,0,0,0,0,0,0,0,MBB + UG,https://en.wikipedia.org/wiki/Billy_Idol,English
Billy Joel,0,0,0,1,0,0,0,MBB + UG,https://en.wikipedia.org/wiki/Billy_Joel,Jewish
Billy Squier,0,0,0,0,0,0,0,MBB + UG,https://en.wikipedia.org/wiki/Billy_Squier,
Blondie,1,0,0,0,1,0,1,MBB + UG,https://en.wikipedia.org/wiki/Blondie_(band),"Stein is Jewish. Harry has spoken about her ""bisexual days"" in interviews."
Boston,0,0,0,0,0,0,0,MBB + UG,https://en.wikipedia.org/wiki/Boston_(band),"Boston currently has a female member, but she was not an original member and did not participate in their greatest hits"
Bread,0,0,0,0,0,0,0,MBB + UG,https://en.wikipedia.org/wiki/Bread_(band),
Canned Heat,0,0,0,1,0,0,0,MBB + UG,https://en.wikipedia.org/wiki/Canned_Heat,Larry Taylor was Jewish
Cheap Trick,0,0,0,0,0,0,0,MBB + UG,https://en.wikipedia.org/wiki/Cheap_Trick,
Cher,1,0,0,0,1,0,1,MBB + UG,https://en.wikipedia.org/wiki/Cher,"her father was Armenian, and her mother claimed Cherokee ancestry. Cher is also considered an ""LGBTQ+ icon."" disability: chronic fatigue syndrom"
Chicago,0,0,0,0,0,0,0,MBB + UG,https://en.wikipedia.org/wiki/Chicago_(band),1967 lineup. Cetera is of Polish and Hungarian descent. Kath is of German and Scandinavian descent. Pankow is of German and Irish descent.
Cliff Richard,0,0,0,0,0,0,0,MBB + UG,https://www.nndb.com/people/234/000024162/,asexual
